,period_id,score,score_activity_balance,score_hrv_balance,score_previous_day,score_previous_night,score_recovery_index,score_resting_hr,score_sleep_balance,score_temperature,summary_date
0,0,75,83,86.0,94,55,80,81,64,99,2020-03-15
1,0,77,83,,0,71,100,81,66,100,2020-03-16
2,0,76,82,,0,64,100,81,69,100,2020-03-17
3,0,81,82,,0,73,100,90,73,100,2020-03-18
4,0,75,81,,0,64,68,90,73,100,2020-03-19
5,0,83,82,,0,65,100,100,76,87,2020-03-20
6,0,78,82,90.0,0,44,94,100,71,100,2020-03-21
7,0,79,82,91.0,0,54,100,96,66,98,2020-03-22
8,0,78,82,,0,61,100,100,65,99,2020-03-23
9,0,75,82,,0,63,96,86,64,100,2020-03-24
10,0,56,82,,0,39,47,70,50,89,2020-03-25
11,0,79,82,,0,85,100,88,59,100,2020-03-26
12,0,75,82,,0,66,100,88,60,91,2020-03-27
13,0,71,83,89.0,0,56,55,88,61,85,2020-03-28
14,0,81,83,90.0,0,71,100,88,69,86,2020-03-29
15,0,78,83,90.0,0,53,94,96,65,100,2020-03-30
16,0,75,83,92.0,0,60,76,79,67,100,2020-03-31
17,0,70,83,92.0,0,46,64,88,58,91,2020-04-01
18,0,73,83,91.0,0,63,69,79,62,100,2020-04-02
19,0,78,83,90.0,0,59,100,88,64,99,2020-04-03
20,0,80,83,91.0,0,68,100,88,67,100,2020-04-04
21,0,82,83,90.0,0,79,100,79,72,100,2020-04-05
22,0,77,83,89.0,0,60,89,79,71,100,2020-04-06
23,0,81,83,88.0,0,74,100,71,77,100,2020-04-07
24,0,73,83,,0,51,90,80,71,99,2020-04-08
25,0,74,83,,0,61,100,64,73,100,2020-04-09
26,0,82,83,,0,70,91,98,76,100,2020-04-10
27,0,73,83,72.0,0,59,93,65,76,99,2020-04-15
28,0,74,83,67.0,0,68,77,74,77,100,2020-04-16
29,0,78,82,64.0,0,68,100,82,81,100,2020-04-17
30,0,78,82,66.0,0,60,99,91,79,100,2020-04-18
31,0,72,82,66.0,0,58,43,99,75,100,2020-04-19
32,0,67,83,71.0,0,51,63,74,65,97,2020-04-20
33,0,69,83,80.0,0,66,41,74,66,100,2020-04-21
34,0,72,83,87.0,0,55,68,82,66,88,2020-04-22
35,0,80,83,91.0,0,66,89,91,69,99,2020-04-23
36,0,81,83,96.0,0,66,100,82,73,100,2020-04-24
37,0,83,82,,0,70,100,91,79,100,2020-04-25
38,0,78,82,,0,58,89,91,76,100,2020-04-26
39,0,77,83,,0,59,60,100,78,100,2020-04-27
40,0,85,83,93.0,0,66,100,100,77,100,2020-04-28
41,0,78,83,93.0,0,51,72,100,72,100,2020-04-29
42,0,85,83,96.0,0,64,100,100,75,100,2020-04-30
43,1,79,83,97.0,0,59,69,94,75,100,2020-05-01
44,0,85,83,99.0,0,60,100,100,77,84,2020-05-02
45,0,84,82,100.0,0,59,96,100,75,100,2020-05-03
46,0,76,83,100.0,0,56,45,96,72,100,2020-05-04
47,0,78,83,100.0,0,54,62,97,71,99,2020-05-05
48,0,79,83,100.0,0,56,92,90,68,100,2020-05-06
49,0,81,83,100.0,0,58,100,98,63,99,2020-05-07
50,0,83,83,97.0,0,66,100,100,66,100,2020-05-08
51,0,78,83,96.0,0,50,100,93,63,100,2020-05-09
52,0,78,83,95.0,0,55,94,100,60,100,2020-05-10
53,0,79,83,94.0,0,66,99,94,60,100,2020-05-11
54,0,77,83,93.0,0,61,91,94,60,99,2020-05-12
55,0,75,83,93.0,0,54,85,100,56,100,2020-05-13
56,0,75,83,94.0,0,56,85,100,53,100,2020-05-14
57,0,81,83,93.0,0,71,100,100,60,96,2020-05-15
58,1,79,83,93.0,0,59,100,99,62,100,2020-05-16
59,0,78,83,92.0,0,60,86,100,61,100,2020-05-17
60,0,74,83,,0,60,82,100,59,100,2020-05-18
61,0,76,83,,0,63,94,98,61,100,2020-05-19
62,0,77,83,,0,60,100,100,62,97,2020-05-20
63,0,75,83,,0,60,91,95,61,95,2020-05-21
64,0,77,83,,0,64,100,86,67,80,2020-05-22
65,0,68,83,,0,50,60,95,60,100,2020-05-23
66,0,77,83,,0,64,100,95,61,100,2020-05-24
67,0,70,83,94.0,0,54,66,78,56,100,2020-05-25
68,0,79,83,94.0,0,65,95,100,58,100,2020-05-26
69,0,80,83,95.0,0,70,100,86,64,100,2020-05-27
70,0,73,83,99.0,0,58,90,62,61,93,2020-05-28
